date,open,high,low,close,pre_close,change,pct_chg,vol,amount
20120104,4.9003,5.0184,4.8019,4.8085,4.9003,-0.0918,-1.8734,474329.58,355989.0931
20120105,4.7953,4.8675,4.7166,4.756,4.8085,-0.0525,-1.0918,528117.81,387244.7471
20120106,4.7691,4.8085,4.6313,4.6969,4.756,-0.0591,-1.2426,542769.61,389284.1353
20120109,4.6969,4.8609,4.6445,4.8609,4.6969,0.164,3.4917,846037.78,611933.922
20120110,4.8216,4.9921,4.8019,4.9397,4.8609,0.0788,1.6211,1077976.78,804854.2837
20120111,4.92,4.9659,4.8741,4.8937,4.9397,-0.046,-0.9312,482934.69,361340.1208
20120112,4.8675,5.0577,4.8609,4.9331,4.8937,0.0394,0.8051,559866.64,423747.976
20120113,4.9265,4.9593,4.815,4.8937,4.9331,-0.0394,-0.7987,392238.43,292442.5635
20120116,4.8544,4.9593,4.8216,4.8347,4.8937,-0.059,-1.2056,337833.92,251290.1735
20120117,4.8216,5.0381,4.7363,4.9725,4.8347,0.1378,2.8502,882229.15,659817.1833
20120118,4.9593,5.0381,4.9003,4.9265,4.9725,-0.046,-0.9251,485527.24,367212.8019
20120119,4.9528,5.1168,4.9265,5.1102,4.9265,0.1837,3.7288,866994.02,669107.8495
20120120,5.1168,5.2217,5.0971,5.1824,5.1102,0.0722,1.4129,896864.73,707734.2635
20120130,5.1496,5.1693,4.9331,4.9528,5.1824,-0.2296,-4.4304,1053049.88,806433.4561
20120131,4.9528,5.0512,4.9528,5.0184,4.9528,0.0656,1.3245,355029.38,270555.6204
20120201,4.9921,5.084,4.9331,4.9593,5.0184,-0.0591,-1.1777,500975.91,382524.5009
20120202,4.979,5.0512,4.9134,5.0381,4.9593,0.0788,1.5889,412731.68,312944.4521
20120203,5.0249,5.1496,4.9921,5.1102,5.0381,0.0721,1.4311,636448.36,493316.3192
20120206,5.0971,5.1299,4.9921,4.9987,5.1102,-0.1115,-2.1819,522439.87,402667.9201
20120207,4.9856,5.0184,4.8413,4.8413,4.9987,-0.1574,-3.1488,803365.12,597938.925
20120208,4.8675,5.0643,4.8413,4.979,4.8413,0.1377,2.8443,820444.78,619277.3715
20120209,4.9856,5.1233,4.9397,5.0512,4.979,0.0722,1.4501,1261429.79,974568.3945
20120210,5.0643,5.2677,5.0643,5.1496,5.0512,0.0984,1.9481,1789250.69,1417375.385
20120213,4.9593,5.1168,4.8741,5.0512,5.1496,-0.0984,-1.9108,912145.03,696139.7372
20120214,5.0184,5.0643,4.9462,5.0512,5.0512,0,0,876265.01,666482.2052
20120215,5.0184,5.1299,4.9921,5.1299,5.0512,0.0787,1.558,541760.79,420041.5865
20120216,5.1037,5.1299,5.0381,5.1102,5.1299,-0.0197,-0.384,399850.36,310004.576
20120217,5.1496,5.1627,5.0577,5.1102,5.1102,0,0,446156.59,346896.1091
20120220,5.1955,5.2545,5.1168,5.1365,5.1102,0.0263,0.5147,718612.54,569546.7653
20120221,5.143,5.2021,5.1037,5.1955,5.1365,0.059,1.1486,379575.54,297949.1151
20120222,5.2349,5.3792,5.2349,5.3726,5.1955,0.1771,3.4087,1212737.46,985466.8901
20120223,5.3792,5.4448,5.3464,5.3726,5.3726,0,0,759988.06,623803.9289
20120224,5.3726,5.6416,5.3464,5.5825,5.3726,0.2099,3.9069,1176551.27,987203.9456
20120227,5.576,5.7203,5.576,5.6285,5.5825,0.046,0.824,1072571.99,925759.6607
20120228,5.6416,5.6744,5.5629,5.5891,5.6285,-0.0394,-0.7,695485.65,593752.6921
20120229,5.5104,5.5169,5.3792,5.4317,5.5891,-0.1574,-2.8162,896496.73,746346.8035
20120301,5.4054,5.5563,5.3923,5.4448,5.4317,0.0131,0.2412,686198.69,574590.821
20120302,5.4448,5.7006,5.4448,5.6613,5.4448,0.2165,3.9763,941113.41,802286.9714
20120305,5.7137,5.8056,5.5694,5.5825,5.6613,-0.0788,-1.3919,813239.53,703574.3314
20120306,5.5825,5.6547,5.5104,5.5301,5.5825,-0.0524,-0.9386,595231.63,503980.9458
20120307,5.5104,5.576,5.4579,5.5301,5.5301,0,0,430787.44,363145.975
20120308,5.5301,5.7072,5.5301,5.6481,5.5301,0.118,2.1338,578174.44,499462.764
20120309,5.6744,5.7072,5.576,5.6416,5.6481,-0.0065,-0.1151,362592.27,311082.8702
20120312,5.5957,5.6416,5.4513,5.4776,5.6416,-0.164,-2.907,744536.65,623582.7787
20120313,5.5301,5.6022,5.5104,5.5891,5.4776,0.1115,2.0356,388633.31,328990.4765
20120314,5.6285,5.6547,5.4185,5.4382,5.5891,-0.1509,-2.6999,965516.33,817408.7778
20120315,5.4382,5.4776,5.2873,5.3857,5.4382,-0.0525,-0.9654,841640.12,690413.9192
20120316,5.3989,5.4448,5.3136,5.4251,5.3857,0.0394,0.7316,454852.79,373536.1335
20120319,5.3923,5.4054,5.3333,5.3923,5.4251,-0.0328,-0.6046,362353.01,296420.3434
20120320,5.3726,5.4251,5.3464,5.3595,5.3923,-0.0328,-0.6083,333394.02,273648.1129
20120321,5.3923,5.4251,5.3464,5.3661,5.3595,0.0066,0.1231,332108.4,272839.3865
20120322,5.3792,5.471,5.3595,5.3989,5.3661,0.0328,0.6112,308580.38,254809.9523
20120323,5.3857,5.4317,5.3136,5.3267,5.3989,-0.0722,-1.3373,289082.59,236183.5311
20120326,5.3136,5.3201,5.2021,5.2611,5.3267,-0.0656,-1.2315,357546.73,286312.713
20120327,5.2611,5.307,5.248,5.2611,5.2611,0,0,230309.73,185329.2965
20120328,5.2545,5.3923,5.2283,5.248,5.2611,-0.0131,-0.249,419168.18,339168.5672
20120329,5.248,5.5104,5.2217,5.3726,5.248,0.1246,2.3742,778597.27,639203.0709
20120330,5.3661,5.4579,5.3595,5.4317,5.3726,0.0591,1.1,432365.56,356934.032
20120405,5.3923,5.5104,5.3857,5.4841,5.4317,0.0524,0.9647,608949.26,506664.2239
20120406,5.4973,5.5825,5.4776,5.4973,5.4841,0.0132,0.2407,426942.04,360074.1467
20120409,5.4579,5.4776,5.3857,5.3923,5.4973,-0.105,-1.91,342380.86,282867.6911
20120410,5.4054,5.5301,5.3726,5.5235,5.3923,0.1312,2.4331,353153.12,292796.0518
20120411,5.471,5.7072,5.4645,5.5694,5.5235,0.0459,0.831,703190,601480.8994
20120412,5.6088,5.7072,5.5825,5.6941,5.5694,0.1247,2.239,641962.39,554572.7416
20120413,5.7072,5.7465,5.6219,5.6285,5.6941,-0.0656,-1.1521,475277,412227.3108
20120416,5.5825,5.6941,5.5694,5.6219,5.6285,-0.0066,-0.1173,306023.1,262437.4211
20120417,5.6219,5.635,5.4645,5.4907,5.6219,-0.1312,-2.3337,460338.7,387879.9285
20120418,5.5301,5.6809,5.5104,5.6678,5.4907,0.1771,3.2255,567858.02,486793.5743
20120419,5.6678,5.6875,5.6219,5.635,5.6678,-0.0328,-0.5787,341459.45,294104.8355
20120420,5.6153,5.6809,5.5694,5.6678,5.635,0.0328,0.5821,484454.69,415790.5698
20120423,5.6547,5.6744,5.576,5.6416,5.6678,-0.0262,-0.4623,351764.15,301328.6549
20120424,5.6416,5.7728,5.5957,5.6613,5.6416,0.0197,0.3492,570896.4,494608.9111
20120425,5.6481,5.8449,5.6285,5.8253,5.6613,0.164,2.8969,866089.03,762186.3897
20120426,5.8384,5.9171,5.8056,5.8712,5.8253,0.0459,0.7879,670000.17,598870.9033
20120427,5.8712,5.9565,5.8449,5.8909,5.8712,0.0197,0.3355,475935.28,429414.0644
